Codigo IBGE;IDADE;SEXO;COR;homic;Nome;IDH;Populacao
330045;3;1;2;229;Belford Roxo;0,684;6215
330045;3;1;3;0;Belford Roxo;0,684;19943
330045;4;0;1;1;Belford Roxo;0,684;12726
330045;4;0;2;3;Belford Roxo;0,684;6155
330045;4;0;3;0;Belford Roxo;0,684;20129
330045;4;1;1;26;Belford Roxo;0,684;11236
330045;4;1;2;106;Belford Roxo;0,684;6247
330045;4;1;3;1;Belford Roxo;0,684;18318
330045;5;0;1;0;Belford Roxo;0,684;11329
330045;5;0;2;4;Belford Roxo;0,684;5515
330045;5;0;3;0;Belford Roxo;0,684;17195
330045;5;1;1;19;Belford Roxo;0,684;9834
330045;5;1;2;45;Belford Roxo;0,684;5395
330045;5;1;3;0;Belford Roxo;0,684;15499
330045;6;0;1;0;Belford Roxo;0,684;8698
330045;6;0;2;1;Belford Roxo;0,684;4381
330045;6;0;3;0;Belford Roxo;0,684;12102
330045;6;1;1;5;Belford Roxo;0,684;7183
330045;6;1;2;14;Belford Roxo;0,684;3881
330045;6;1;3;0;Belford Roxo;0,684;10821
330045;7;0;1;0;Belford Roxo;0,684;5130
330045;7;0;2;0;Belford Roxo;0,684;2649
330045;7;0;3;0;Belford Roxo;0,684;6852
330045;7;1;1;2;Belford Roxo;0,684;4298
330045;7;1;2;4;Belford Roxo;0,684;2091
330045;7;1;3;0;Belford Roxo;0,684;5723
